# --------------- Global -----------------------------------------------------
$SSL_ClickHere	Haz clic aquí
$SSL_Random	Aleatorio
$SSL_Never	Nunca
$SSL_Sometimes	A veces
$SSL_Everything	Todo
$SSL_Always	Siempre
$SSL_Unknown	Desconocido
$SSL_Remove	Eliminar
$SSL_Seconds	{0} segundos
$SSL_Male	Hombre
$SSL_Female	Mujer
$SSL_Futa	Futa
$SSL_Creature	Criatura
$SSL_NoTarget	(Sin objetivo)
$SSL_Apply	Aplicar
$SSL_Enabled	Activado
$SSL_PrevPage	<< PÁGINA ANTERIOR
$SSL_NextPage	PÁGINA SIGUIENTE >>
$SSL_Low	Bajo
$SSL_High	Alto
$SSL_ConflictControl{}{}	Esta tecla ya está asignada a:\n{} ({})\n\n¿Seguro que quieres continuar?
$SSL_ConflictControl{}	Esta tecla ya está asignada a:\n{}\n\n¿Seguro que quieres continuar?
$SSL_KeyCannotBeDisabled	Esta tecla es obligatoria y no puede desactivarse.
$SSL_TSModeSelect	Categoría de escenas
$SSL_TSModeSelectHighlight	Elige la categoría de escenas para la cual se configuran las opciones de desvestido en esta página

# --------------- Races -----------------------------------------------------

$SSL_Creatures	Criaturas
$SSL_Humans	Humanos

$SSL_Race_0	Humanos
$SSL_Race_1	Ash Hopper
$SSL_Race_2	Oso
$SSL_Race_3	Jabalí
$SSL_Race_4	Jabalí montado
$SSL_Race_5	Jabalí individual
$SSL_Race_6	Cánido
$SSL_Race_7	Chaurus
$SSL_Race_8	Cazador Chaurus
$SSL_Race_9	Segador Chaurus
$SSL_Race_10	Gallina
$SSL_Race_11	Vaca
$SSL_Race_12	Ciervo
$SSL_Race_13	Perro
$SSL_Race_14	Dragón
$SSL_Race_15	Sacerdote dragón
$SSL_Race_16	Draugr
$SSL_Race_17	Balista dwemer
$SSL_Race_18	Centurión dwemer
$SSL_Race_19	Esfera dwemer
$SSL_Race_20	Araña dwemer
$SSL_Race_21	Falmer
$SSL_Race_22	Atronach de fuego
$SSL_Race_23	Zorro
$SSL_Race_24	Atronach de escarcha
$SSL_Race_25	Gárgola
$SSL_Race_26	Gigante
$SSL_Race_27	Araña gigante
$SSL_Race_28	Cabra
$SSL_Race_29	Hagraven
$SSL_Race_30	Conejo
$SSL_Race_31	Horker
$SSL_Race_32	Caballo
$SSL_Race_33	Espectro de hielo
$SSL_Race_34	Araña grande
$SSL_Race_35	Lurker
$SSL_Race_36	Mamut
$SSL_Race_37	Cangrejo de lodo
$SSL_Race_38	Netch
$SSL_Race_39	Riekling
$SSL_Race_40	Sable felino
$SSL_Race_41	Seeker
$SSL_Race_42	Skeever
$SSL_Race_43	Pez asesino
$SSL_Race_44	Araña
$SSL_Race_45	Spriggan
$SSL_Race_46	Atronach de tormenta
$SSL_Race_47	Trol
$SSL_Race_48	Señor vampiro
$SSL_Race_49	Hombre lobo
$SSL_Race_50	Wisp
$SSL_Race_51	Madre de las wisps
$SSL_Race_52	Lobo

# --------------- UI -----------------------------------------------------
$SSL_Thread	Hilo
$SSL_Positions	Posiciones
$SSL_Debug	Debug
$SSL_SceneInfo	Información de escena
$SSL_Offset	Desplazamiento
$SSL_AlternateScenes	Escenas
$SSL_PickRandom	Reproducir escena aleatoria
$SSL_ToggleAutoplay	Activar reproducción automática
$SSL_Name	Nombre
$SSL_Author	Autor
$SSL_Package	Paquete
$SSL_Tags	Etiquetas
$SSL_CustomTags	Anotaciones
$SSL_ActiveFurniture{}	Centro: {}
$SSL_StepSize	Tamaño del paso
$SSL_StageOnly	Solo etapa
$SSL_ResetOffsets	Restablecer desplazamientos
$SSL_Permutation	Variación
$SSL_Expression	Expresión
$SSL_Voice	Voz
$SSL_GhostMode	Modo fantasma
$SSL_ExitMenu	Salir del menú
$SSL_PauseAnimation	Pausar animación
$SSL_MoveScene	Mover escena
$SSL_Speed	Velocidad
$SSL_NextStage	Siguiente etapa
$SSL_EndScene	Finalizar escena
$SSL_HideHUD	Ocultar HUD del juego
$SSL_HideUI	Ocultar HUD de escena
$SSL_None	Ninguno

# --------------- Sex Journal (Sex Diary) -----------------------------------------------------
$SSL_SexJournal	Diario sexual
$SSL_SexDiary	Diario íntimo

$SSL_StatSelectingMenu	Visualizando estadísticas
$SSL_StatSelectingMenuHighlight	Referencia seleccionada cuyas estadísticas se están mostrando actualmente.

$SSL_Reset{}Stats	Restablecer estadísticas de {}
$SSL_ResetStatHighlight	Elimina al actor seleccionado del registro de estadísticas, restableciendo sus estadísticas (predeterminadas y personalizadas).
$SSL_WarnReset{}Stats	Esto restablecerá toda la experiencia y estadísticas sexuales de {}. ¿Deseas continuar?

# ------ Statistics
$SSL_Statistics	Estadísticas

$SSL_LastTimeInScene	Fecha de la última escena
$SSL_TimeInScenes	Tiempo en escenas
$SSL_Statistic_2	Experiencia vaginal
$SSL_Statistic_3	Experiencia anal
$SSL_Statistic_4	Experiencia oral

$SSL_Unskilled	Inexperto
$SSL_Novice	Novato
$SSL_Apprentice	Aprendiz
$SSL_Journeyman	Intermedio
$SSL_Expert	Experto
$SSL_Master	Maestro
$SSL_GrandMaster	Gran maestro

$SSL_Statistic_5	Parejas: Hombre
$SSL_Statistic_6	Parejas: Mujer
$SSL_Statistic_7	Parejas: Futa
$SSL_Statistic_8	Parejas: Criatura

$SSL_Sexuality	Sexualidad
$SSL_SexualityHighlight	Haz clic para cambiar la sexualidad de este actor.

$SSL_Lesbian	Lesbiana
$SSL_Gay	Gay
$SSL_Bisexual	Bisexual
$SSL_Heterosexual	Heterosexual

$SSL_Statistic_9	Veces oral
$SSL_Statistic_10	Veces vaginal
$SSL_Statistic_11	Veces anal
$SSL_Statistic_12	Veces masturbado
$SSL_Statistic_13	Veces sumiso
$SSL_Statistic_14	Veces dominante
$SSL_Statistic_15	Veces totales



# ----------------- Animation Settings ---------------------------------------------------
$SSL_AnimationSettings	Ajustes de animación

# ------ Player settings
$SSL_PlayerSettings	Ajustes del jugador

$SSL_bAutoAdvance	Avance automático de etapas
$SSL_bAutoAdvanceHighlight	Las animaciones avanzarán automáticamente por tiempo cuando el jugador esté involucrado.
$SSL_bDisablePlayer	Desactivar controles de víctima
$SSL_bDisablePlayerHighlight	Cuando el jugador sea la víctima en una animación, los controles de animación no estarán disponibles.
$SSL_bAutoTFC	Cámara libre automática
$SSL_bAutoTFCHighlight	Si está activado, se habilitará automáticamente la cámara libre (TFC) al iniciar una animación con el jugador.
$SSL_fAutoSUCSM	Velocidad de cámara libre
$SSL_fAutoSUCSMHighlight	Al iniciar la cámara libre, esta será la velocidad predeterminada de movimiento.
$SSL_PlayerSex	Sexo del jugador
$SSL_{}Sex	Sexo de {}
$SSL_SexSelectHighlight	Cómo SexLab interpreta el sexo de este actor. Se usa para determinar en qué posiciones puede participar durante escenas. No afecta directamente su comportamiento o apariencia.

# ------ Extra effects
$SSL_ExtraEffects	Efectos extra

$SSL_ClimaxType	Tipo de clímax
$SSL_ClimaxTypeHighlight	Comportamiento de los clímax durante las escenas.
$SSL_Climax_0	Escena (etapas de orgasmo)
$SSL_Climax_1	Clásico (fin de animación)
$SSL_Climax_2	Separado (SLSO)

$SSL_bOrgasmEffects	Efectos de orgasmo
$SSL_bOrgasmEffectsHighlight	Si está activado, se reproducirán sonidos de orgasmo en cada actor y se aplicará vibración de cámara en el orgasmo del jugador.
$SSL_fShakeStrength	Intensidad de vibración de cámara
$SSL_fShakeStrengthHighlight	Si "Efectos de orgasmo" está activado, define la intensidad de la vibración de cámara en el orgasmo del jugador.\nPonlo en "0" para desactivarlo.
$SSL_bUseCum	Aplicar efectos de semen
$SSL_bUseCumHighlight	Aplica un efecto visual de semen al personaje receptor/víctima después del orgasmo de una pareja masculina/agresora.
$SSL_fCumTimer	Duración del efecto
$SSL_fCumTimerHighlight	Define cuánto tiempo se mostrará el efecto anterior en el personaje.
$SSL_bUseExpressions	Aplicar expresiones faciales
$SSL_bUseExpressionsHighlight	Aplica presets de MFG al actor durante la animación, aumentando según el progreso y las habilidades del personaje. ADVERTENCIA: Puede causar errores visuales si se combina con sincronización labial.
$SSL_bUseLipSync	Sincronización labial
$SSL_bUseLipSyncHighlight	Cuando un actor emite sonidos, se reproducirá una animación básica de movimiento de boca. ADVERTENCIA: Puede fallar si se combina con expresiones MFG.

# ------ Lovense
$SSL_Lovense	Lovense
$SSL_iLovenseStrength	Intensidad predeterminada
$SSL_iLovenseStrengthHighlight	Intensidad de vibración de dispositivos Lovense durante escenas. Solo aplica si el jugador participa.
$SSL_iLovenseStrengthOrgasm	Intensidad en orgasmo
$SSL_iLovenseStrengthOrgasmHighlight	Intensidad de vibración tras un orgasmo. Solo aplica a los orgasmos del jugador.
$SSL_iLovenseDurationOrgasm	Duración del orgasmo
$SSL_iLovenseDurationOrgasmHighlight	Cuánto dura la vibración antes de reiniciarse tras un orgasmo.

# ------ Creatures
$SSL_bAllowCreatures	Permitir animaciones con criaturas
$SSL_bAllowCreaturesHighlight	Permite usar criaturas en animaciones.
$SSL_bCreatureGender	Coincidir sexo de criaturas
$SSL_bCreatureGenderHighlight	Define si SexLab diferencia entre criaturas macho y hembra.\nNormalmente, SexLab trata a todas las criaturas como machos.

# ------ Animation Handling
$SSL_AnimationHandling	Gestión de animaciones

$SSL_UseFade	Usar fundido
$SSL_UseFadeHighlight	Aplica un efecto visual al inicio de la animación.
$SSL_UseBlur	Desenfoque
$SSL_UseBlack	Negro
$SSL_bUndressAnimation	Animación de desvestido
$SSL_bUndressAnimationHighlight	Los actores reproducirán una animación al desvestirse.
$SSL_bRedressVictim	Vestir a la víctima
$SSL_bRedressVictimHighlight	Las víctimas no se vestirán automáticamente al terminar la animación.
$SSL_bDisableTeleport	Desactivar teletransporte inicial
$SSL_bDisableTeleportHighlight	Al iniciar la animación, los actores intentarán acercarse antes de comenzar completamente.
$SSL_bShowInMap	Mostrar escenas en el mapa
$SSL_bShowInMapHighlight	Muestra un marcador de misión para cada escena cercana (excepto las del jugador).
$SSL_bSetAnimSpeedByEnjoyment	Velocidad según disfrute
$SSL_bSetAnimSpeedByEnjoymentHighlight	La velocidad de la animación cambia según el disfrute del actor (+/-20%).
# TODO: $SSL_AdjustStage
$SSL_AdjustStage	Adjust Stage Only
# TODO: $SSL_AdjustStageHighlight
$SSL_AdjustStageHighlight	Toggles whether all edits to position/stage offsets will apply for currently playing stage only.
# TODO: $SSL_fAdjustStepSize
$SSL_fAdjustStepSize	Offset Step Size
# TODO: $SSL_fAdjustStepSizeHighlight
$SSL_fAdjustStepSizeHighlight	Determines the step size for offset adjustments.
$SSL_bHideHUD	Ocultar HUD del juego
$SSL_bHideHUDHighlight	Oculta la interfaz del juego, no la de escena.
$SSL_FurnitureNPC	Uso de mobiliario: NPC
$SSL_FurnitureNPCHighlight	Decide cómo los NPC usan muebles. Específicamente, si usan escenas con muebles en lugar de normales cuando estén disponibles.
$SSL_AskNotSub	Preguntar (si no es sumiso)
$SSL_AskAlways	Preguntar (siempre)
$SSL_FurniturePlayer	Uso de mobiliario: Jugador
$SSL_FurniturePlayerHighlight	Decide cuándo usar escenas con muebles. Sobrescribe la configuración de NPC en escenas con el jugador. Las opciones "Preguntar" abren un menú. Si eres sumiso, se aplican las reglas de NPC.

# ---- COMEBACK: Might delete
$SSL_bDisableScale	Desactivar escalado / Corrección CTD
$SSL_bDisableScaleHighlight	¡¡¡ Activar solo si es necesario !!!\nDesactiva todos los usos internos de SetScale() en SexLab, lo cual puede causar cierres inesperados (CTD) al iniciar animaciones en algunos usuarios. Puede que algunos escalados sigan ocurriendo por otros medios (como mobiliario), los cuales SexLab no podrá corregir mientras esto esté activado. Los resultados pueden variar.

# ----------------- Voices & SFX ---------------------------------------------------
$SSL_SoundSettings	Voces y efectos

$SSL_fSFXVolume	Volumen de efectos
$SSL_fSFXVolumeHighlight	Volumen general de efectos desde 0.0 (silencio) hasta 1.0 (máximo).
$SSL_fSFXDelay	Retardo de efectos
$SSL_fSFXDelayHighlight	Los efectos de sonido comenzarán con este intervalo y disminuirán en cada etapa.
$SSL_fVoiceVolume	Volumen de voz
$SSL_fVoiceVolumeHighlight	Volumen general de voces desde 0.0 (silencio) hasta 1.0 (máximo).
$SSL_fMaleVoiceDelay	Retardo voz masculina
$SSL_fMaleVoiceDelayHighlight	Las voces masculinas comenzarán con este intervalo y disminuirán en cada etapa.
$SSL_fFemaleVoiceDelay	Retardo voz femenina
$SSL_fFemaleVoiceDelayHighlight	Las voces femeninas comenzarán con este intervalo y disminuirán en cada etapa.

$SSL_CachedVoices	Voces en caché
$SSL_SelectVoiceCache	Actor seleccionado
$SSL_SelectVoiceCacheHighlight	Actor cuya voz estás viendo actualmente.
$SSL_SelectVoiceCacheV	Voz del actor
$SSL_SelectVoiceCacheVHighlight	Voz de SexLab usada por este actor.\nSi no se selecciona manualmente, se asigna la primera vez que participa en una animación.

$SSL_ToggleVoices	Activar/Desactivar voces
$SSL_ActiveVoices	Voces visibles
$SSL_ActiveVoicesHighlight	Voces que estás visualizando actualmente, filtradas por la raza seleccionada.

$SSL_FemaleAverage	[SL] Femenina promedio
$SSL_FemaleBreathy	[SL] Femenina suave
$SSL_FemaleClassic	[SL] Femenina clásica
$SSL_FemaleExcitable	[SL] Femenina excitada
$SSL_FemaleMature	[SL] Femenina madura
$SSL_FemaleQuiet	[SL] Femenina silenciosa
$SSL_FemaleStimulated	[SL] Femenina estimulada
$SSL_FemaleYoung	[SL] Femenina joven
$SSL_FemaleFlat	[SL] Femenina plana
$SSL_FemaleRebellious	[SL] Femenina rebelde
$SSL_FemaleRebellious2	[SL] Femenina rebelde (Alt)
